Date,Open,High,Low,Close,Adj Close,Volume
12/1/2019,267.1024933,,,264.932503,,
12/2/2019,267.269989,268.25,263.450012,264.160004,262.82309,23621800
12/3/2019,258.309998,259.529999,256.290009,259.450012,258.136963,28607600
12/4/2019,261.070007,263.309998,260.679993,261.73999,260.415344,16795400
12/5/2019,263.790009,265.890015,262.730011,265.579987,264.235901,18606100
12/6/2019,267.480011,271,267.299988,270.709991,269.339935,26518900
12/7/2019,268.7400055,,,268.815002,,
12/8/2019,269.3700028,,,267.8675075,,
12/9/2019,270,270.799988,264.910004,266.920013,265.569122,32010600
12/10/2019,268.600006,270.070007,265.859985,268.480011,267.121246,22605100
12/11/2019,268.809998,271.100006,268.5,270.769989,269.399658,19689200
12/12/2019,267.779999,272.559998,267.320007,271.459991,270.086151,34327600
12/13/2019,271.459991,275.299988,270.929993,275.149994,273.757477,33396900
12/14/2019,274.2299955,,,277.5049895,,
12/15/2019,275.6149978,,,278.6824873,,
12/16/2019,277,280.790009,276.980011,279.859985,278.443604,32046500
12/17/2019,279.570007,281.769989,278.799988,280.410004,278.990875,28539600
12/18/2019,279.799988,281.899994,279.119995,279.73999,278.324249,29007100
12/19/2019,279.5,281.179993,278.950012,280.019989,278.602814,24592300
12/20/2019,282.230011,282.649994,278.559998,279.440002,278.025757,68994500
12/21/2019,281.380005,,,281.720001,,
12/22/2019,280.955002,,,282.8600005,,
12/23/2019,280.529999,284.25,280.369995,284,282.562683,24643000
12/24/2019,284.690002,284.890015,282.920013,284.269989,282.831299,12119700
12/25/2019,284.7550045,,,287.0899965,,
12/26/2019,284.820007,289.980011,284.700012,289.910004,288.44278,23280300
12/27/2019,291.119995,293.970001,288.119995,289.799988,288.333313,36566500
12/28/2019,290.289993,,,290.6599885,,
12/29/2019,289.874992,,,291.0899888,,
12/30/2019,289.459991,292.690002,285.220001,291.519989,290.044617,36028600
12/31/2019,289.929993,293.679993,289.519989,293.649994,292.163818,25201400
