Date,Open,High,Low,Close,Adj Close,Volume
12/1/2019,68.4575005,,,68.34749775,,
12/2/2019,68.47875025,,,68.38374788,,
12/3/2019,68.5,68.879997,68.370003,68.419998,66.168663,11116900
12/4/2019,68,68.25,67.519997,67.879997,65.646431,12245800
12/5/2019,68.25,68.760002,68.139999,68.650002,66.391106,11049700
12/6/2019,68.889999,68.970001,68.209999,68.410004,66.158997,13109000
12/7/2019,68.760002,69.870003,68.760002,69.510002,67.222801,13710800
12/8/2019,68.920002,,,69.585003,,
12/9/2019,69.000002,,,69.6225035,,
12/10/2019,69.080002,69.970001,69.019997,69.660004,67.367867,12397700
12/11/2019,69.660004,70.150002,68.699997,69.059998,66.787605,14281800
12/12/2019,68.739998,69.760002,68.669998,68.959999,66.690903,13748400
12/13/2019,68.959999,70.379997,68.900002,70.339996,68.02549,17068500
12/14/2019,70.480003,70.540001,69.120003,69.230003,66.952019,12274500
12/15/2019,70.09,,,69.6150015,,
12/16/2019,69.8949985,,,69.80750075,,
12/17/2019,69.699997,70.25,69.699997,70,67.696678,15208700
12/18/2019,69.980003,70.379997,69.309998,69.68,67.387207,14450700
12/19/2019,69.629997,70.290001,69.279999,69.870003,67.570961,13652300
12/20/2019,69.989998,70.050003,69.239998,69.389999,67.10675,13273200
12/21/2019,69.860001,70.230003,69.389999,69.940002,67.638657,35092000
12/22/2019,69.860001,,,70.1150015,,
12/23/2019,69.860001,,,70.20250125,,
12/24/2019,69.860001,70.300003,69.529999,70.290001,67.977135,14172500
12/25/2019,70.349998,70.5,69.910004,70.019997,67.716011,3979400
12/26/2019,70.190002,70.5,70.010002,70.129997,67.822395,8840200
12/27/2019,70.199997,70.309998,69.879997,69.889999,67.590294,10516100
12/28/2019,70.1449965,,,69.685001,,
12/29/2019,70.11749625,,,69.582502,,
12/30/2019,70.089996,70.440002,69.400002,69.480003,67.193794,12689400
12/31/2019,69.019997,69.800003,69.010002,69.779999,67.483917,13151800
