,date,tweet,user_id,username
25,31-12-2019 21:00,$XOM in Downtrend: Stochastic indicator leaves overbought zone. View odds for this and other indicators:  https://tickeron.com/go/1069252  #ExxonMobil #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today pic.twitter.com/4iVb8hJxlB,374729426,Tickeron
26,31-12-2019 20:54,$SPY $AAPL $MSFT $FB $AMZN $XOM $JPM  https://www.marketwatch.com/story/these-2-stocks-dominated-sp-500-returns-in-2019-and-the-decade-2019-12-31?mod=home-page … pic.twitter.com/QjBE0BHlej,881604271,naashonomics
27,31-12-2019 20:47,"10% of portfolio in both XOM and T... 5yrs of flat to nothing but dividends. Bought MSFT and AAPL once dividends announced.  Wish I had jumped sooner

Lesson learned- focus on total return first, then dividends.",415804380,harsh626atx
28,31-12-2019 20:46,- all my recent positions have positive agreement in most of my research. $xom $cgc $work $maxr (from $7.5) $mmm $crwd,794108792,jstrades44
29,31-12-2019 20:36,Exxon Mobil: 5% Dividend Yield Is Near A 25-Year High  https://seekingalpha.com/article/4314720?source=ansh … $XOM Great Dividend Stock BUY XOM!,2172626998,pjl001
30,31-12-2019 20:27,The Group 3 Live Analysis / #Trading Room video recording is available for members  http://ow.ly/fxGQG  #ElliottWave #Stocks #ETF's #AAPL #FB #AMZN #T #XOM #XLK #BTC #XLP #XLF #GDX #VRX #BAC #TSLA #BABA #CHK #GE #NFLX #NKE #FCX #VOX #XME pic.twitter.com/hCSzYHjkbM,33796239,elliottwaves
31,31-12-2019 20:26,1 hour charts for the Group 3 instruments are available for members viewing  http://ow.ly/fxGQG  #ElliottWave #Stocks #ETF's #AAPL #FB #AMZN #T #XOM #XLK #BTC #XLP #XLF #GDX #VRX #BAC #TSLA #BABA #CHK #GE #NFLX #FCX #XME #XLY #trading pic.twitter.com/p8IdV3x7J8,33796239,elliottwaves
32,31-12-2019 20:06,"Don’t like XOM long b/c oil will be increasingly obsolete b/c improving electrical/battery power. I like BRKA, TWTR long. I won’t like BND until after the Fed defines how much more “QE” they will deploy, likely pushing up Treasury rates more in Q1 2020, 2/2",745864506,MarkusBallard
33,31-12-2019 19:47,$XOM NEW ARTICLE : Exxon Mobil: 5% Dividend Yield Is Near A 25-Year High  https://dashboard.stck.pro/news.php?ticker=XOM&rowid=3125727 … Get all the latest $XOM related news here :  https://dashboard.stck.pro/news.php?ticker=XOM …,9.63496E+17,StckPro
34,31-12-2019 19:45,$XOM - Exxon Mobil: 5% Dividend Yield Is Near A 25-Year High. Read more and get updates on any stock!  https://seekingalpha.com/article/4314720-exxon-mobil-5-dividend-yield-is-near-25-year-high?source=feed_f&utm_campaign=twitter_automated&utm_content=article&utm_medium=social&utm_source=twitter … #finance #markets #economy,23059499,SeekingAlpha
35,31-12-2019 19:39,"$GME when you have more shares shorted then exist doesn’t matter about the company, it becomes a math problem. Good luck covering 104% of the outstanding shares. SHORT SQUEEZE SEND $GME up 104% good luck covering

$SPY $MSFT $AMZN $FB $BRK.B $JPM $GOOG $JNJ $V $PG $XOM $T $BAC",32171776,InvincibleBull
36,31-12-2019 19:29,"It’s not $GME going to start off 2020 with a massive short squeeze. 3 million shares more than what exist shorted 😱😱😱 good luck shorts trying to cover 

$SPY $MSFT $AMZN $FB $BRK.B $JPM $GOOG $JNJ $V $PG $XOM $T $BAC $UNH $NVDA $DIS $MA $VZ $INTC $HD $MRK $WMT $FdX $NFLX $C",32171776,InvincibleBull
37,31-12-2019 19:20,"XOM and OXY fit my expectations as well, and BRK is often a good bet, and cash is superb at these valuations IMHO. 

BND and PTON may turn out to be real gamechangers (I'm a believer in BND) but not at all at these prices. Think you'll take some exciting heat on one or both =)",224073066,pianomikey1
38,31-12-2019 19:06,"$GME best way to start 2020 off is to release amazing afterhour news today and let the shorts who are 104% of the outstanding shares short here panic and gap this open to $8+ to start off 2020 🤷🏻‍♂️🥳
@GameStop
$SPY $MSFT $AMZN $FB $BRK.B $JPM $GOOG $JNJ $V $PG $XOM $T $BAC $UNH",32171776,InvincibleBull
39,31-12-2019 19:00,Short sale volume (not short interest) for $GPOR on 2019-12-30 is 57%.  http://shortvolumes.com/?t=GPOR  $XOM 49% $DVN 50% $EOG 45%,9.25001E+17,shortvolumes
40,31-12-2019 18:59,"$GME huge shareholders + nice insider holdings+ massive share buy backs + 104% of the outstanding shares shorted = RECORD SHORT SQUEEZE COMING 

$SPY $MSFT $AMZN $FB $BRK.B $JPM $GOOG $JNJ $V $PG $XOM $T $BAC $UNH $NVDA $DIS $MA $VZ $INTC $HD $MRK $WMT $FdX $NFLX $C $BA $PEP pic.twitter.com/QXZTcahuZt",32171776,InvincibleBull
41,31-12-2019 18:56,"$GME coiled tight, about to bust and you will see the power of a 104% of the outstanding shares short SQUEEZES FOR THE RECORD BOOKS

$SPY $MSFT $AMZN $FB $BRK.B $JPM $GOOG $JNJ $V $PG $XOM $T $BAC $UNH $NVDA $DIS $MA $VZ $INTC $HD $MRK $WMT $FdX $NFLX $C $BA $PEP $TLRY $NVCN",32171776,InvincibleBull
42,31-12-2019 18:36,"@GameStop who knows how more share buy back happened since 10q but 104% of the outstanding shares are short $GME chart screaming SHORT SQUEEZE 

$SPY $MSFT $AMZN $FB $BRK.B $JPM $GOOG $JNJ $V $PG $XOM $T $BAC $UNH $NVDA $DIS $MA $VZ $INTC $HD $MRK $WMT $FdX $NFLX $C $BA $PEP",32171776,InvincibleBull
